x,y,z
0.0,1.0,0
0.05562934567960652,1.0141272228642182,0
0.11125869135921304,1.0283252381772998,0
0.16688803703881955,1.0425863460753488,0
0.22251738271842608,1.0569028466944694,0
0.2781467283980326,1.0712670401707662,0
0.3337760740776391,1.0856712266403432,0
0.38940541975724563,1.1001077062393043,0
0.44503476543685216,1.1145687791037542,0
0.5006641111164587,1.129046745369797,0
0.5562934567960652,1.1435339051735367,0
0.6119228024756718,1.1580225586510782,0
0.6675521481552782,1.172505005938525,0
0.7231814938348847,1.1869735471719818,0
0.7788108395144913,1.2014204824875525,0
0.8344401851940978,1.2158381120213417,0
0.8900695308737043,1.2302187359094539,0
0.9456988765533109,1.2445546542879924,0
1.0013282222329174,1.258838167293062,0
1.0569575679125238,1.2730615750607666,0
1.1125869135921305,1.287217177727211,0
1.168216259271737,1.3012972754284995,0
1.2238456049513435,1.3152941683007355,0
1.27947495063095,1.329200156480024,0
1.3351042963105564,1.3430074995889782,0
1.390733641990163,1.3567056983432846,0
1.4463629876697695,1.3702797770007806,0
1.501992333349376,1.3837143503654672,0
1.5576216790289825,1.3969943790287966,0
1.6132510247085892,1.4101094920102286,0
1.6688803703881956,1.4230526698888306,0
1.7245097160678022,1.4358169939289234,0
1.7801390617474087,1.448395893063866,0
1.835768407427015,1.460783035363652,0
1.8913977531066217,1.4729724835939686,0
1.9470270987862281,1.4849599638353956,0
2.002656444465835,1.4967416705365946,0
2.058285790145441,1.5083144068379162,0
2.1139151358250476,1.51967560396143,0
2.1695444815046545,1.5308229766361467,0
2.225173827184261,1.5417550002536062,0
2.2808031728638674,1.552470353808082,0
2.336432518543474,1.5629682283802393,0
2.39206186422308,1.5732480776636106,0
2.447691209902687,1.5833096503406143,0
2.5033205555822935,1.5931530154209474,0
2.5589499012619,1.6027783870573593,0
2.6145792469415063,1.6121862844176138,0
2.6702085926211128,1.6213773130044373,0
2.7258379383007196,1.6303523133183877,0
2.781467283980326,1.6391122161759832,0
2.8370966296599325,1.6476580934012601,0
2.892725975339539,1.6559911286023428,0
2.9483553210191458,1.6641125711820535,0
3.003984666698752,1.6720237857516893,0
3.0596140123783586,1.6797261668150967,0
3.115243358057965,1.6872211972054267,0
3.1708727037375715,1.6945103898622944,0
3.2265020494171783,1.701595302611335,0
3.2821313950967848,1.7084775333488484,0
3.337760740776391,1.7151586940093988,0
3.3933900864559976,1.7216404314021256,0
3.4490194321356045,1.7279243995674403,0
3.504648777815211,1.7340122673825153,0
3.5602781234948173,1.7399057133682838,0
3.6159074691744237,1.7456064173177201,0
3.67153681485403,1.7511160618290906,0
3.727166160533637,1.7564363295013479,0
3.7827955062132435,1.7615688962841778,0
3.83842485189285,1.7665154329473196,0
3.8940541975724563,1.7712776061457396,0
3.949683543252063,1.7758570656551445,0
4.00531288893167,1.7802554566064892,0
4.060942234611276,1.784474411728662,0
4.116571580290882,1.7885155430802593,0
4.172200925970489,1.792380459447906,0
4.227830271650095,1.796070747397993,0
4.283459617329702,1.7995879749741839,0
4.339088963009309,1.8029337060421604,0
4.394718308688915,1.8061094747514617,0
4.450347654368522,1.8091168006508997,0
4.505977000048128,1.8119571969798316,0
4.561606345727735,1.8146321428514585,0
4.617235691407341,1.817143105714827,0
4.672865037086948,1.819491545287441,0
4.728494382766554,1.8216788853184036,0
4.78412372844616,1.8237065390916432,0
4.839753074125768,1.8255759122786355,0
4.895382419805374,1.8272883726512283,0
4.951011765484981,1.8288452762077654,0
5.006641111164587,1.8302479740397526,0
5.062270456844193,1.8314977837649595,0
5.1178998025238,1.8325960090152016,0
5.173529148203406,1.833543950218907,0
5.229158493883013,1.834342867126028,0
5.284787839562619,1.8349939912175814,0
5.3404171852422255,1.8354985534035082,0
5.396046530921833,1.835857784593749,0
5.451675876601439,1.8360729156982443,0
5.507305222281046,1.8361451776269349,0
